"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Alere Home Monitoring, Inc","CA","Healthcare Provider","116506","10/18/2012","Theft","Laptop","No","\N"
"Coastal home Respiratory, LLP","GA","Healthcare Provider","3440","10/18/2012","Theft","Other","No","Computers containing the electronic protected health information (ePHI) of 3,440 patients were stolen from the covered entity (CE), Coastal Home Respiratory, during a burglary.  The ePHI included names, addresses, phone numbers, insurance identification numbers, social security numbers, and diagnoses.  The computers were password protected and the data was encoded. The CE promptly notified law enforcement and provided breach notification to affected individuals, HHS, and the media.  Following the breach, the CE cancelled access passwords for patient data, and changed patient data software to a server based system that is password protected and encrypted.  The CE's billing software vendor changed the CE's account numbers to prevent unauthorized access to the ePHI.  The CE improved physical safeguards by installing a new alarm system.  Following OCR's investigation, the CE also improved safeguards for PHI by implementing new procedures for activity reports, audit logs, and security reports."
"Philip P Corneliuson, DDS, INC.","CA","Healthcare Provider","980","10/22/2012","Theft","Desktop Computer","No","\N"
"First Step Counseling, Inc.","NJ","Healthcare Provider","638","10/23/2012","Theft","Paper/Films","No","Two of the covered entity's (CE) employees photocopied documents containing 638 patients' protected health information (PHI) and disclosed the documents to their attorney.  The PHI included names, insurance numbers, diagnoses, dates of birth, telephone numbers, and social security numbers.  Upon discovery of the breach, the CE hired attorneys to seek immediate return of all photocopies that contained the PHI.  The CE provided breach notification to the affected individuals, HHS and the media.  As a result of OCR's investigation, the CE transferred to an electronic billing system that is password protected and secured patient files with a lock.  Further, the front desk has been positioned by a protective window and policies have been implemented to prevent patients from standing beside the reception desk.  The CE also reviewed and revised its consent forms and retrained all staff. "
"Logan Community Resources, Inc.","IN","Healthcare Provider","2900","10/23/2012","Hacking/IT Incident","Network Server","No","\N"
"Health Care Service Corporaltion","IL","Health Plan","","10/26/2012","Theft","Paper/Films","No",""
"SwedishAmerican Health System","IL","","1500","10/26/2012","Theft","Paper/Films","No",""
"CVS Caremark","RI","Healthcare Provider","955","10/26/2012","Theft","Paper/Films","No","\N"
"Memorial Hospital","OH","Healthcare Provider","500","10/29/2012","Improper Disposal","Paper/Films","No","\N"
"Waipahu Aloha Clubhouse, Privacy Manager Breach","HI","Healthcare Provider","","10/31/2012","Unauthorized Access/Disclosure","Desktop Computer","No","The covered entity (CE) reported unauthorized remote access into one of its desktop computers containing the protected health information of 674 people. The PHI involved included names, addresses, dates of birth, and social security numbers. Following the breach, the CE updated its security policies and procedures, encrypted computers, updated its passwords, and retrained its employees.  OCR provided technical assistance."
"QUANTERION SOLUTIONS INC","NY","Business Associate","1017","11/01/2012","Theft","Network Server","Yes","An unencrypted thumb drive that contained the electronic protected health information (ePHI) of 1,017 individuals was stolen by an employee of the covered entity's (CE) business associate (BA), Quanterion Solutions, Inc.  The ePHI included names, addresses, dates of birth, driver's license numbers, social security numbers, claims information, clinical information, diagnosis/conditions, lab results, treatment information, and medications.  Upon discovery of the breach, the CE, Surgical Associates of Utica, PC, filed a police report and the employee was arrested.  The CE provided breach notification to HHS, the media, and affected individuals and provided credit monitoring services for these individuals.  As a result of OCR's investigation, the CE executed a BA agreement. 
\
\"
"University of Illinois, College of Nursing","IL","Business Associate","508","11/02/2012","Theft","Paper/Films","Yes","\N"
"Henry Ford Health System","MI","","2777","11/05/2012","Loss","Other, Other Portable Electronic Device","No",""
"Union County Board of Developmental Disabilities","OH","","","11/05/2012","","","No",""
"Indiana University","IN","","","11/05/2012","","","No","An unencrypted and password protected laptop computer was stolen from the car of an employee (medical resident) of the covered entity (CE).  The laptop contained the electronic protected health information (ePHI) of approximately 3,266 individuals.  The types of ePHI in the breach included names, medical record numbers, birth dates, diagnosis codes, and social security numbers.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE audited the employee’s department and equipment, retrained the involved employee and other staff, updated its HIPAA policies and procedures, and encrypted its laptop computers.   OCR obtained written assurances that the CE implemented the corrective actions listed above.
"
"Miami Beach Healthcare Group Ltd. dba Aventura Hospital and Medical Center","FL","Healthcare Provider","2560","11/05/2012","Theft","Electronic Medical Record","No","\N"
"WYATT DENTAL GROUP, LLC","LA","Healthcare Provider","10271","11/05/2012","Theft, Unauthorized Access/Disclosure","Electronic Medical Record","No","\N"
"Women & Infants Hospital of Rhode Island","RI","Healthcare Provider","14004","11/05/2012","Loss","Other","No","\N"
"Memorial Health System","CO","Healthcare Provider","6262","11/07/2012","Loss","Paper/Films","No","\N"
"Maryville Academy","IL","Healthcare Provider","3897","11/08/2012","Loss","Other Portable Electronic Device","No",""
"CHRISTUS St. John Hospital","TX","Healthcare Provider","5748","11/16/2012","Loss","Other Portable Electronic Device","No","\N"
"L.A. Care Health Plan","CA","Health Plan","18000","11/17/2012","Other","Other","No","\N"
"Hawaii State Department of Health, Adult Mental Health Division","HI","Healthcare Provider","674","11/20/2012","Hacking/IT Incident","Desktop Computer","No","\N"
"Original Medicine Acupuncture & Wellness, LLC","NM","","","11/21/2012","","","No",""
"Soundental Associates, PC","CT","Healthcare Provider","14511","11/21/2012","Theft","Other Portable Electronic Device","No","\N"
"Original Medicine Acupuncture & Wellness, LLC","NM","Healthcare Provider","540","11/21/2012","Theft","Laptop","No","\N"
"Brigham and Women's Hospital","MA","Healthcare Provider","615","11/26/2012","Theft","Desktop Computer","No","\N"
"Advantage Health Solutions, Inc.","IN","Business Associate","2575","11/26/2012","Other","Other","Yes","\N"
"James M. McGee, D.M.D., P.C.","GA","Healthcare Provider","1306","11/27/2012","Theft","Paper/Films","No","\N"
"Robbins Eye Center PC","CT","Healthcare Provider","1749","11/28/2012","Theft","Desktop Computer","No","\N"
"Advanced Data Processing, Inc.","FL","Healthcare Clearing House","10000","11/29/2012","Theft","Desktop Computer","No","\N"
"Cuyahoga County Board of Developmental Disabilities","OH","Healthcare Provider","613","11/29/2012","Theft","Laptop","No","\N"
"Blue Cross Blue Shield","IL","Business Associate","500","11/29/2012","Unauthorized Access/Disclosure","Network Server","Yes","\N"
"Vidant Pungo Hospital","NC","Healthcare Provider","1100","11/29/2012","Improper Disposal","Paper/Films","No","\N"
"County of San Bernardino Department of Public Heatlh","CA","Healthcare Provider","1370","11/29/2012","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"ADPI-West","CA","Business Associate","1500","11/29/2012","Theft, Unauthorized Access/Disclosure","Desktop Computer","Yes","\N"
"Landmark Medical Center","RI","Healthcare Provider","683","11/30/2012","Theft","Laptop","No","\N"
"University of Virginia Medical Center","VA","Healthcare Provider","1846","11/30/2012","Loss","Other Portable Electronic Device","No","\N"
"Carolinas Medical Center - Randolph","NC","Healthcare Provider","5600","12/07/2012","Hacking/IT Incident","Email","No","\N"
"Coastal Behavioral Healthcare, Inc.","FL","Healthcare Provider","4907","12/07/2012","Theft","Paper/Films","No","OCR opened an investigation of the covered entity (CE), Coastal Behavioral Healthcare, Inc., after it reported that four pages containing protected health information (PHI) were recovered by local law enforcement during a motor vehicle traffic stop.  The CE indicated the four pages were likely part of a larger report and may have containing the PHI of 4,907 individuals.  The PHI involved in the breach included names, social security numbers, dates of birth, and other identifiers.  The CE provided breach notification to the affected individuals, HHS, and the media.  Following the breach, the CE hired a cybersecurity firm to perform a network audit and to conduct a security risk assessment.  The CE also improved safeguards by restricting physical access to its information technology department, implementing a new electronic health record system, and disabling the ability to print reports from its database containing data similar to the report that was the subject of the breach.  OCR obtained assurances that the CE implemented the corrective action listed above."
"CCS Medical, Inc.","TX","Healthcare Provider","6601","12/10/2012","Unauthorized Access/Disclosure","Network Server, Other","No","\N"
"Columbia University Medical Center and NewYork-Presbyterian Hospital","NY","Healthcare Provider","4929","12/14/2012","Theft","Desktop Computer","No","\N"
"Health Advantage","AR","Health Plan","2863","12/20/2012","Other","Paper/Films","No","\N"
"Westerville Dental Center","OH","Healthcare Provider","850","12/20/2012","Theft","Laptop, Network Server","No","\N"
"OHP PHSP, Inc.","NY","","28187","12/21/2012","Unauthorized Access/Disclosure","Other","Yes","\N"
"Center for Orthopedic Research and Education, Inc.","AZ","Healthcare Provider","35488","12/21/2012","Theft","Paper/Films","No","\N"
"Calif. Dept. of Health Care Services (DHCS)","CA","Health Plan","2643","12/23/2012","Unauthorized Access/Disclosure","Other","No","The covered entity (CE), California Department of Health Care Services reported that 2,705 member identification cards were mailed to the wrong households.  Due to a computer programming error in the electronic file for multiple beneficiaries living in the same household, some cards for these beneficiaries were sent to the wrong households.  The types of protected health information (PHI) on the cards included names, dates of birth, genders, dates of issue, and Medi-Cal-assigned numbers.  The CE provided breach notification to HHS, affected individuals, and the media.  Following the breach, the CE put an immediate hold on additional mailings and conducted a quality assurance check.  The CE deactivated the cards that were mailed to the wrong addresses, requested the return of the deactivated cards, and issued replacements.  The CE implemented a new internal data transfer policy and updated related procedures.  It also instituted new processes for mailings. OCR obtained assurances that the CE implemented the corrective actions listed above."
"Richard Switzer MD PC","MI","Healthcare Provider","4100","12/23/2012","Other","Laptop","No","\N"
"Gibson General Hospital","IN","Healthcare Provider","28893","12/26/2012","Theft","Laptop","No","\N"
"Sovereign Medical Group, LLC","NJ","Healthcare Provider","27800","12/27/2012","Hacking/IT Incident, Theft","Network Server","No","\N"
"HP Enterprise Services","KY","Business Associate","1090","12/28/2012","Theft","Laptop","Yes","An employee of a subcontractor for the covered entity's (CE) Business Associate (BA), responded to a telephone phishing attack and permitted a hacker to remotely access the laptop computer of the subcontractor.  In violation of the subcontractor BA's policies, the laptop contained the protected health information (PHI) of 1,090 individuals, including names, dates of birth, diagnosis codes, and diagnosis code descriptions and some social security numbers and treatment descriptions.  The CE, through its BA, provided breach notification to HHS, affected individuals, and the media, and provided substitute notice.  The BA also offered a year of credit monitoring to those affected.  In response to the incident, the subcontractor improved safeguards by initiating laptop audits to ensure PHI is not stored on them, re-trained employees, and applied employee sanctions by terminating the employee who failed to follow its policy. OCR obtained assurances that the corrective action listed above was completed. 
\
\"
"Clearpoint Design, Inc.","MA","Business Associate","4343","12/28/2012","Hacking/IT Incident","Network Server","Yes","\N"
"Omnicell, Inc.","CA","Business Associate","56820","12/31/2012","Theft","Laptop","Yes","An electronic medication dispensing device was stolen from the locked car of an Omnicell employee.  Omnicell is a business associate (BA) of the covered entity (CE), Sentara.  The protected health information that was involved in the breach included patient names, birth dates, patient numbers, medical record numbers, and clinical information of 56,820 of the CE's patients.  Breach notification was provided to HHS, the media and affected individuals.   The BA represented to the CE that they had recently completed a risk analysis containing details of implemented administrative, physical and technical safeguards.  The BA informed the CE that they have in place a security awareness and training program and provided information regarding its education of workforce members.  As a result of OCR's investigation, OCR obtained an executive summary of the BA's risk analysis and a copy of the CE's most recent risk analysis.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI."
"St. Mark's Medical Center","TX","Healthcare Provider","2988","12/31/2012","Hacking/IT Incident","Desktop Computer","No","\N"
"Group Health Incorporated","NY","Health Plan","1771","01/02/2013","Theft","Paper/Films","No","OCR opened an investigation of the covered entity (CE), Group Health Insurance, after it reported that postcard reminders were sent to 1,771 subscribers.  The protected health information (PHI) involved included social security numbers within a series of other numbers inscribed on the outside of the postcard.   The CE provided breach notification to HHS, the media, and affected individuals, and posted substitute notice on its website.  Upon discovery of the breach, the CE suspended its mailing in order to verify subscriber information to ensure pending and completed projects did not contain social security numbers.  As a result of OCR's investigation, the CE modified its mailing procedures to prevent similar disclosures from recurring in the future and retrained staff on its modified mailing procedure.  The CE provided affected individuals with a free one year subscription for credit monitoring.
\
\"
"Calvin Schuster,MD","CA","Healthcare Provider","532","01/04/2013","Theft","Desktop Computer","No","\N"
"Clearpoint Design, Inc.","MA","Business Associate","4125","01/07/2013","Hacking/IT Incident","Network Server","Yes","\N"
"University of Nevada School of Medicine","NV","Healthcare Provider","1483","01/08/2013","Improper Disposal","Paper/Films","No","\N"
"WorkflowOne","OH","Business Associate","635","01/08/2013","Unauthorized Access/Disclosure","Paper/Films","Yes","\N"
"SilverScript Insurance Company","AZ","Health Plan","852","01/08/2013","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Clearpoint Design, Inc.","MA","Business Associate","7250","01/10/2013","Hacking/IT Incident","Network Server","Yes","\N"
"Pousson Family Dentistry","LA","Healthcare Provider","1400","01/10/2013","Theft","Laptop","No","\N"
"Clearpoint Design, Inc.","MA","Business Associate","4100","01/10/2013","Hacking/IT Incident","Network Server","Yes","\N"
"Lee D. Pollan, DMD, PC","NY","Healthcare Provider","19178","01/11/2013","Theft","Laptop","No","OCR opened an investigation of the covered entity (CE) after it reported an unencrypted laptop was stolen that contained the electronic protected health information (ePHI) of 19,178 individuals.  The ePHI included names, addresses, zip codes, dates of birth, social security numbers, claims information, and diagnosis codes.  Upon discovery of the breach, the CE filed a police report to recover the stolen items.  As a result of OCR's investigation, the CE encrypted the backup drive of the contents of the laptop computer.  The CE also trained all staff on the use of encryption to safeguard data on personal computers and mobile devices."
"Washington University School of Medicine","MO","Healthcare Provider","1105","01/11/2013","Theft","Laptop","No","\N"
"Riderwood Village","MD","Healthcare Provider","3230","01/17/2013","Theft","Laptop","No","OCR opened an investigation of the covered entity (CE), Riderwood Senior Living Community, after it reported that five laptop computers (four of which were unencrypted) containing the electronic protected health information (ePHI) of 8,507 individuals were stolen from the facility's physical therapy department.  The ePHI included names, dates of birth, addresses, Health plan ID numbers, and discussions of therapy treatments.  Upon discovering the breach, the CE filed a police report, mailed individual notice of the breach to all current and former Riderwood residents and affected health plan members, issued a press release to seven media outlets, posted substitute notice on its website for 90 days, and reported the breach to HHS.  Following this breach, the CE encrypted laptops, revised security procedures, and retrained employees.  OCR obtained written assurance that the CE implemented the corrective action listed above as well as new security policies and procedures to ensure adequate safeguards of ePHI."
"WAYNE MEMORIAL HOSPITAL","PA","Healthcare Provider","1184","01/18/2013","Loss","Other","No","\N"
"Baptist Health System","TX","Healthcare Provider","678","01/22/2013","Unauthorized Access/Disclosure","Electronic Medical Record","No","\N"
"BlueCross BlueShield of Western New York","NY","Business Associate","725","01/22/2013","Theft","Paper/Films","Yes","OCR opened an investigation of the covered entity (CE), Baillie Lumber Co. Group Health Plan, after it reported its business associate (BA), Blue Cross Blue Shield, mailed a monthly premium notice with invoices that contained the protected health information (PHI) of 725 individuals which was never received by the CE.  The PHI included names, member identification numbers, and social security numbers.  The CE provided breach notification to HHS and affected individuals.  Upon discovery of the breach, the BA contacted the U.S. Post Office to inquire about the package that contained the invoices that the CE never received.  As a result of OCR's investigation, the BA revised its invoice process and removed social security numbers and member identification numbers from its invoices.  The BA also improved safeguards by changing its mailing procedures to send invoices to the CE via secure email.  The breach involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI."
"StandfordSchoolMedicine& LP Children Hosp, Privacy Manager Breach","CA","","","01/23/2013","","","No",""
"The University of Texas MD Anderson Cancer Center","TX","Healthcare Provider","29021","01/24/2013","Theft","Laptop","No","\N"
"Western Wisconsin Medical Association, S.C. - River Falls Medical Clinics","WI","Healthcare Provider","2400","01/25/2013","Theft","Paper/Films","No","\N"
"RR Donnelley (a sub-BA for UnitedHealth Group)","IL","Business Associate","8911","01/30/2013","Theft","Desktop Computer","Yes","\N"
"Kmart Pharmacy #7623","LA","Business Associate","16988","01/31/2013","Improper Disposal","Paper/Films","Yes","\N"
"Community Services NW","AL","Healthcare Provider","2400","02/02/2013","Theft","Desktop Computer","No","\N"
"LifeGas","GA","Business Associate","1103","02/04/2013","Theft","Laptop","Yes","\N"
"Yadkinville Chiropractic DCPA","NC","Business Associate","1000","02/06/2013","Theft","Desktop Computer","Yes","\N"
"West Georgia Ambulance","GA","Healthcare Provider","500","02/11/2013","Loss","Laptop","No","\N"
"Center for Pain Management, LLC","MD","Healthcare Provider","5822","02/12/2013","Theft","Laptop","No","Three laptop computers were stolen from the Rockville, MD office of the covered entity (CE), Center for Pain Management.  The laptops were unencrypted and two of the devices contained the electronic protected health information (ePHI) of 5,822 individuals.  The CE retained Identity Force, a firm specializing in providing mitigation services in cases of security breaches.   Identity Force mailed notification letters to all affected individuals and provided identity theft insurance and credit monitoring services for one year.  The CE also posted the breach notification on its website and notified the media.  The CE engaged the services of an information technology firm to update its devices and computer network.  OCR obtained assurances that the corrective action listed above was completed."
"Coast Healthcare Management, LLC","CA","Business Associate","1368","02/12/2013","Other, Theft","Paper/Films","Yes","\N"
"Froedtert Health","WI","Healthcare Provider","43549","02/12/2013","Unauthorized Access/Disclosure","Other","No","\N"
"Jackson Health System","FL","Healthcare Provider","566","02/13/2013","Other","Paper/Films","No","\N"
"Kindred Transitional Care and Rehabilitation - Marl","MA","Healthcare Provider","716","02/14/2013","Theft","Other Portable Electronic Device","No","\N"
"HomeCare of Mid-Missouri, Inc.","MO","Healthcare Provider","4027","02/14/2013","Theft","Laptop","No","\N"
"Heyman HospiceCare at Floyd","GA","Healthcare Provider","1819","02/15/2013","Theft","Laptop","No","\N"
"ABQ HealthPartners","NM","Healthcare Provider","778","02/17/2013","Theft","Laptop","No","\N"
"Terrell County Health Department","GA","Healthcare Provider","18000","02/18/2013","Unauthorized Access/Disclosure","Network Server","No","\N"
"DentaQuest of Florida, LLC","MA","Business Associate","3667","02/19/2013","Unauthorized Access/Disclosure","Paper/Films","Yes","\N"
"Stronghold Counseling Services Inc","SD","Healthcare Provider","8500","02/21/2013","Theft","Desktop Computer","No","\N"
"Arizona Oncology","AZ","Healthcare Provider","501","02/21/2013","Theft","Laptop","No","\N"
"Crescent Health Inc. - a Walgreens Company","CA","Healthcare Provider","109000","02/22/2013","Theft","Desktop Computer","No","\N"
"County of San Bernardino, Department of Behavioral Health","CA","Health Plan","686","02/25/2013","Theft","Paper/Films","No","\N"
"WOMENS HEALTH ENTERPRISE, INC.","GA","Healthcare Provider","3000","02/27/2013","Theft","Laptop","No","\N"
"Standard Register","OH","Business Associate","2261","03/01/2013","Theft","Paper/Films","Yes","OCR opened an investigation of the covered entity (CE), The Brookdale University Hospital and Medical Center, after it reported its business associate (BA), Standard Register, inadvertently mailed statements to 2,261 individuals using another affiliated CE's envelopes.  The protected health information (PHI) included names, addresses and financial information.  OCR provided technical assistance to the CE regarding safeguarding PHI."
"Health Plus Amerigroup","NY","Business Associate","28187","03/01/2013","Theft","Other Portable Electronic Device","Yes","The covered entity's (CE) business associate (BA), Health Plus Amerigroup, mailed an unencrypted compact disk that contained the electronic protected health information (ePHI) of 28,187 individuals to the CE, The Brookdale University Hospital and Medical Center.  OCR closed this breach report and consolidated into an existing breach report filed by OHP PHSP, Inc. regarding the same issues."
"Plexus Group","IL","Business Associate","500","03/01/2013","Unauthorized Access/Disclosure","Other","Yes","\N"
"South Miami Hospital","FL","Healthcare Provider","834","03/02/2013","Unauthorized Access/Disclosure","Electronic Medical Record","No","\N"
"Lancaster General Medical Group","PA","Healthcare Provider","527","03/04/2013","Theft","Paper/Films","No","A spreadsheet containing the protected health information (PHI) of 527 individuals was stolen from one of the covered entity's (CE) locations.  The PHI involved in the breach included names and dates of birth.  Following the breach, the CE notified the local police, provided breach notification to HHS, the media, and the affected individuals, and offered identity protection services to the individuals.  The CE attempted to retrieve the PHI.  As a result of OCR's investigation, the CE reviewed its policies to prevent a similar incident from occurring in the future.
\ 
\
\"
"Maine Medical Center","ME","Healthcare Provider","1920","03/04/2013","Other","Email","No","\N"
"North Los Angeles County Regional Center ","CA","Business Associate","18162","03/04/2013","Theft","Laptop","Yes","\N"
"Goold Health System (Goold)","MA","Business Associate","6332","03/06/2013","Loss","Other Portable Electronic Device","Yes","\N"
"Sports Rehabilitation Consultants","OH","Healthcare Provider","1200","03/06/2013","Theft","Desktop Computer","No","\N"
"University of Connecticut Health Center","CT","Healthcare Provider","1382","03/08/2013","Unauthorized Access/Disclosure","Network Server","No","\N"
"United HomeCare Services, Inc.","FL","Healthcare Provider","12299","03/09/2013","Theft","Laptop","No","On January 8, 2013, an employee’s unencrypted laptop computer (owned by the covered entity (CE), United HomeCare Services) was stolen from her locked vehicle. The laptop contained demographic data (including names, dates of birth, addresses, and social security numbers), clinical, and health insurance information. The breach affected 12,299 of the CE's patients and 1,318 clients of UHCS’s subsidiary, United Home Care Services of Southwest Florida, LLC. The CE provided breach notification to HHS, to affected individuals, and the media and posted notice on its website. In response to the breach, the CE encrypted its portable devices and provided retrained employees.  The employee at fault was suspended without pay for 5 days and resigned shortly thereafter. OCR obtained assurances that the CE implemented the corrective actions listed above."
"Patterson Dental Supply/Patterson Companies","MN","Business Associate","6400","03/12/2013","Hacking/IT Incident","Network Server","Yes","\N"
"Connextions c/o Anthem BCBS","IN","Business Associate","1678","03/14/2013","Theft, Unauthorized Access/Disclosure","Network Server","Yes","\N"
"Mount Sinai Medical Center","FL","Healthcare Provider","628","03/15/2013","Theft","Desktop Computer, Paper/Films","No","\N"
"Thomas L. Davis, Jr. DDS","OR","Healthcare Provider","3269","03/15/2013","Theft","Desktop Computer, Electronic Medical Record","No","\N"
"M&C Children's Clinic PA","TX","","","03/19/2013","","","No",""
"HealthCare for Women, Inc.","MA","Healthcare Provider","8727","03/20/2013","Hacking/IT Incident","Network Server","No","\N"
"University of Mississippi Medical Center","MS","Healthcare Provider","500","03/21/2013","Loss","Laptop","No","\N"
"Granger Medical Clinic","UT","Healthcare Provider","2600","03/22/2013","Loss, Other, Theft","Paper/Films","No","\N"
"Texas Tech Unversity Health Sciences Center","TX","Healthcare Provider","697","03/22/2013","Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Oregon Health & Science University","OR","","","03/26/2013","","","No",""
"Rite Aid #10217","RI","Healthcare Provider","2082","03/29/2013","Other, Unknown","Paper/Films","No","\N"
"Sunil Kakar, Psy.D.","WA","Business Associate","629","03/29/2013","Theft","Laptop","Yes","\N"
"QuickRunner, Inc. (dba, RoadRunner Mailing Services)","CA","Business Associate","2400","03/29/2013","Unauthorized Access/Disclosure","Paper/Films","Yes","\N"
"Shands Jacksonville Medical Center, Inc.","FL","Healthcare Provider","1025","04/02/2013","Theft","Electronic Medical Record","No","A clinical intern at the covered entity (CE), University of Florida Health Jacksonville (UFHJ) (formerly Shands Jacksonville Medical Center), took photographs of protected health information (PHI) and emailed the PHI to an unauthorized third person for the purpose of filing fraudulent tax returns.  The PHI included the names, addresses, social security numbers, dates of birth, and treatment information of 1,025 individuals.  Law enforcement agencies that learned of the breach informed the CE and requested delays of breach notification.  The CE later provided breach notification to affected individuals, HHS, and the media, and offered affected individuals one year of free identity theft protection.   Following the breach, the CE sanctioned two workforce members who had allowed the intern, who was no longer at the CE, to use their credentials to access the electronic medical records in violation of its policies.  The CE also retrained workforce members on its privacy policies; increased access restrictions to social security numbers; and ended its clinic-based internships.   OCR provided technical assistance and obtained assurances of the CE's plan to update its breach notification policies and procedures.  "
"University of Florida","FL","Healthcare Provider","14519","04/03/2013","Other, Theft, Unauthorized Access/Disclosure","Network Server","No","\N"
"Kmart Corporation","IL","Healthcare Provider","12542","04/03/2013","Theft","Electronic Medical Record","No","\N"
"PORTAL HEALTHCARE SOLUTIONS LLC","VA","Business Associate","2360","04/04/2013","Theft","Network Server","Yes","The covered entity's (CE) business associate (BA) operated a server containing the electronic protected health information (ePHI) of 2,360 individuals that was vulnerable to access by unauthorized persons for over four months.  The ePHI included transcribed doctors' notes, which may have included medical diagnoses, clinical laboratory results, diagnostic imaging reports, emergency department records, and medication administration.  Upon discovery of the breach, the CE engaged a computer forensic expert to investigate the incident and terminated the BA agreement.  As a result of OCR's investigation, the CE ensured that its BA secured the server, verified that the server was no longer accessible from the Internet, and required the BA to return or destroy all of the CE's ePHI."
"Hospice and Palliative Care Center of Alamance Caswell","NC","Healthcare Provider","5370","04/04/2013","Theft, Unauthorized Access/Disclosure","Laptop, Paper/Films","No","\N"
"Texas Health Care, P.L.L.C.","TX","Healthcare Provider","554","04/05/2013","Theft","Paper/Films","No","\N"
"TMG Health ","PA","Business Associate","3794","04/05/2013","Unauthorized Access/Disclosure","Paper/Films","Yes","\N"
"Wm. Jennings Bryan Dorn VAMC","SC","Healthcare Provider","7405","04/10/2013","Theft","Laptop","No","A laptop computer contained the protected health information (PHI) of approximately 7,405 individuals was stolen from the Pulmonary Testing Unit of the William Jennings Bryan Dorn Veterans Affairs Medical Center, the covered entity (CE). The PHI involved in the breach included names, dates of birth, and clinical information.  The CE provided breach notice to HHS, the media and affected individuals and provided substitute notification on its website.  It also offered affected individuals credit monitoring services including identity theft protection for one year.   The CE also filed a report with the VA police and VA Office of Inspector General (OIG).  In response to the breach, the CE improved safeguards by physically protecting all laptops attached to medical testing devices and established policies and procedures requiring clinic staff to securely store and purge all personally identifiable information from such medical devices. As a result of OCR's investigation, OCR obtained assurances that the corrective actions listed above were completed."
"John J. Pershing VA Medical Center","MO","Healthcare Provider","589","04/11/2013","Theft","Paper/Films","No","OCR opened an investigation of the covered entity (CE), John J. Pershing VA Medical Center, after the CE reported that its business associate (BA), Stress Laboratory, placed a box of unsecured protected health information (PHI) in an equipment storage room.  The PHI included the names, social security numbers, diagnoses, and age of approximately 589 individuals.  This breach incident involved a BA, and occurred prior to the September 23, 2013 compliance date.  The BA employee involved in this matter separated from employment in 2012, and the BA was reorganized and has been incorporated into the CE.  The CE provided breach notification to affected individuals, HHS, and the media.  Substitute notification was provided through a posting on the CE's main website with a toll-free information number.  The CE also offered one year of identity protection and credit monitoring services to affected individuals.  As a result of this incident, the CE adopted a new policy that provides guidance to its staff regarding the handling of PHI.  Additionally, the CE trained its employees on this new policy, and re-trained its employees on the Privacy, Security, and Breach Notification Rules.  Finally, OCR obtained assurances that the CE implemented the corrective action listed above.
\
\"
"Oregon Health & Science University","OR","Healthcare Provider","1076","04/11/2013","Theft","Laptop","No","\N"
"Schneck Medical Center","IN","Healthcare Provider","3131","04/12/2013","Unauthorized Access/Disclosure","Other","No","\N"
"The Guidance Center of Westchester","NY","Healthcare Provider","1416","04/17/2013","Theft","Desktop Computer","No","\N"
"Hope Hospice","TX","Healthcare Provider","818","04/25/2013","Other","Email","No","\N"
"IHC Health Services, Inc.","UT","Healthcare Provider","857","04/26/2013","Unauthorized Access/Disclosure","Other","No","\N"
"Valley Mental Health","UT","Healthcare Provider","700","04/26/2013","Theft","Desktop Computer","No","\N"
"ZDI","CA","Business Associate","14829","04/29/2013","Loss","Paper/Films","Yes","\N"
"Raleigh Orthopaedic Clinic","NC","Healthcare Provider","17300","04/30/2013","Improper Disposal, Theft, Unauthorized Access/Disclosure","Paper/Films","No","\N"
"Laboratory Corporation of America","NC","Healthcare Provider","1580","05/01/2013","Theft","Desktop Computer","No","\N"
"Arizona Counseling & Treatment Services, LLC","AZ","Healthcare Provider","3800","05/01/2013","Theft","Other Portable Electronic Device","No","\N"
"Wood County Hospital","OH","Healthcare Provider","2500","05/03/2013","Theft","Other","No","\N"
"University of Rochester Medical Center & Affiliates","NY","Healthcare Provider","537","05/06/2013","Loss","Other Portable Electronic Device","No","\N"
"AssuranceMD f/k/a Harbor Group","PA","Business Associate","22000","05/07/2013","Theft","Other Portable Electronic Device","Yes","An unsecured hard drive containing the electronic protected health information (ePHI) of up to 22,000 individuals was lost in transit between Dr. Andrew F. Brooker's business associate, AssuranceMD,  and a subcontracted electronic medical records storage company.  The ePHI involved in the breach included patients' names, diagnoses/conditions, lab results, other clinical information and for some patients, addresses, dates of birth and/or social security numbers.  Dr. Brooker provided breach notification to HHS and affected individuals.  Following the breach he updated his HIPAA policies and procedures.  OCR obtained assurances that the corrective action steps listed above were completed.  Prior to completion of additional corrective actions, Dr. Brooker notified OCR that he had sold his private practice.  
\
\"
